sample_id,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_status
TR84262729,26,35800,RENT,7.0,MEDICAL,C,9500,12.8,0.27,N,4,0
TR19391264,26,125400,RENT,5.0,PERSONAL,A,9600,9.41,0.08,N,2,0
TR12411365,32,100300,MORTGAGE,8.0,MEDICAL,A,10300,5.57,0.1,N,4,0
TR16197888,29,73400,MORTGAGE,13.0,PERSONAL,A,20800,8.49,0.28,N,8,0
TR46343637,41,102500,RENT,1.0,EDUCATION,C,3700,15.0,0.04,Y,14,0
TR52069664,54,117500,MORTGAGE,4.0,PERSONAL,A,36200,9.12,0.31,N,27,0
TR17231236,22,57300,RENT,6.0,VENTURE,C,14800,14.22,0.26,N,1,0
TR57031240,23,47100,MORTGAGE,8.0,DEBTCONSOLIDATION,B,3600,10.9,0.08,N,1,0
TR72497992,22,41700,RENT,6.0,VENTURE,B,1300,11.58,0.03,N,3,0
TR95145895,25,68500,MORTGAGE,12.0,PERSONAL,A,8700,7.09,0.13,N,8,0
TR98246199,20,36200,RENT,1.0,EDUCATION,B,14200,11.07,0.39,N,3,1
TR30687102,27,71000,RENT,5.0,HOMEIMPROVEMENT,A,10500,7.39,0.15,N,4,0
TR58963654,21,45000,RENT,3.0,EDUCATION,A,7100,7.26,0.16,N,3,0
TR67580215,32,76200,RENT,1.0,HOMEIMPROVEMENT,C,19000,12.87,0.25,N,6,0
TR90184359,22,33600,RENT,4.0,MEDICAL,C,12100,13.39,0.36,N,3,1
TR95268851,24,43900,RENT,3.0,MEDICAL,A,5700,7.54,0.13,N,4,0
TR88810989,23,24700,RENT,2.0,HOMEIMPROVEMENT,B,9900,11.44,0.4,N,3,1
TR24608416,19,44200,MORTGAGE,5.0,PERSONAL,A,10900,6.41,0.25,N,1,0
TR78939360,24,79200,RENT,0.0,HOMEIMPROVEMENT,A,8900,7.24,0.11,N,3,0
TR84823184,28,59200,MORTGAGE,2.0,VENTURE,C,9600,13.52,0.16,N,6,0
TR72435617,25,83400,OWN,3.0,PERSONAL,A,11700,6.41,0.14,N,3,0
TR28905163,23,62400,MORTGAGE,0.0,VENTURE,B,10500,12.12,0.17,N,3,0
TR83486936,28,68200,MORTGAGE,3.0,HOMEIMPROVEMENT,A,9400,6.4,0.14,N,5,0
TR27713513,38,71000,MORTGAGE,4.0,HOMEIMPROVEMENT,C,4100,14.34,0.06,Y,16,0
TR25376086,28,154000,MORTGAGE,13.0,PERSONAL,B,11500,12.81,0.07,N,7,0
TR34670228,26,145400,MORTGAGE,5.0,PERSONAL,B,15200,9.67,0.1,N,3,0
TR87019006,28,70700,OWN,7.0,HOMEIMPROVEMENT,C,9300,14.21,0.13,Y,4,0
TR95232755,23,48400,OWN,4.0,PERSONAL,B,3700,11.13,0.08,N,4,0
TR24186765,20,61800,MORTGAGE,6.0,EDUCATION,B,9600,9.61,0.16,N,4,0
TR44198139,33,56300,RENT,0.0,EDUCATION,B,9600,9.76,0.17,N,8,0
TR49193285,26,50600,MORTGAGE,5.0,PERSONAL,C,11400,13.56,0.23,N,5,0
TR43717842,26,73900,MORTGAGE,4.0,VENTURE,C,5800,14.5,0.08,N,4,0
TR72565053,19,36600,OWN,2.0,VENTURE,A,6000,6.98,0.16,N,2,0
TR93357498,20,49600,MORTGAGE,6.0,MEDICAL,B,8900,12.58,0.18,N,2,0
TR24610163,24,89200,MORTGAGE,2.0,MEDICAL,A,24900,7.47,0.28,N,3,0
TR74618871,26,61800,MORTGAGE,13.0,EDUCATION,A,6400,6.84,0.1,N,7,0
TR46213438,28,68900,MORTGAGE,12.0,DEBTCONSOLIDATION,A,14100,5.93,0.2,N,8,0
TR99339292,30,88900,OWN,5.0,PERSONAL,C,8200,13.84,0.09,N,9,0
TR32093385,38,53100,OWN,4.0,VENTURE,D,5100,15.07,0.1,Y,15,0
TR18011807,36,49800,OWN,4.0,HOMEIMPROVEMENT,C,13300,13.69,0.27,N,5,0
TR89135368,24,63900,MORTGAGE,0.0,EDUCATION,A,5100,7.36,0.08,N,3,0
TR74638936,23,63800,MORTGAGE,0.0,HOMEIMPROVEMENT,A,10500,5.78,0.16,N,4,0
TR39566464,22,47300,RENT,4.0,MEDICAL,B,2900,9.94,0.06,N,4,0
TR68878007,24,45600,MORTGAGE,11.0,EDUCATION,A,5000,7.44,0.11,N,3,0
TR75358247,22,85100,MORTGAGE,8.0,EDUCATION,A,9400,7.85,0.11,N,3,0
TR64694449,21,33100,MORTGAGE,5.0,PERSONAL,C,6600,12.39,0.2,N,5,0
TR76623116,26,28400,MORTGAGE,0.0,DEBTCONSOLIDATION,D,4500,14.79,0.16,N,5,1
TR72148590,27,28700,RENT,4.0,PERSONAL,A,5900,7.62,0.21,N,7,0
TR57149911,21,25300,RENT,0.0,PERSONAL,B,3500,10.03,0.14,N,4,0
TR81284140,26,63000,MORTGAGE,3.0,EDUCATION,D,20900,13.82,0.33,Y,3,0
TR41707410,31,31200,RENT,9.0,EDUCATION,C,2400,14.33,0.08,N,11,0
TR16398456,23,68400,MORTGAGE,10.0,PERSONAL,A,14400,7.93,0.21,N,3,0
TR70672530,24,23500,RENT,3.0,PERSONAL,B,1500,12.27,0.06,N,2,0
TR98887028,35,78900,MORTGAGE,3.0,PERSONAL,B,10300,11.64,0.13,N,15,0
TR84901550,26,52400,MORTGAGE,2.0,VENTURE,B,7700,9.85,0.15,N,4,0
TR38873876,26,76200,MORTGAGE,6.0,DEBTCONSOLIDATION,B,25600,10.4,0.34,N,2,0
TR77002420,27,60100,RENT,4.0,VENTURE,A,4400,6.5,0.07,N,5,0
TR66658078,25,50700,RENT,5.0,PERSONAL,A,3000,7.65,0.06,N,3,0
TR46966657,28,82800,RENT,7.0,MEDICAL,B,11700,12.3,0.14,N,7,0
TR83106982,29,50300,RENT,5.0,HOMEIMPROVEMENT,B,15400,10.4,0.31,N,5,1
TR67449757,30,23600,RENT,4.0,DEBTCONSOLIDATION,B,5800,11.12,0.25,N,7,0
TR90495068,26,60600,RENT,1.0,MEDICAL,C,9800,13.57,0.16,N,4,0
TR47207304,30,88600,RENT,0.0,HOMEIMPROVEMENT,C,5300,12.89,0.06,N,8,0
TR73653622,23,95800,RENT,5.0,VENTURE,C,7300,12.62,0.08,Y,1,0
TR79993625,31,30800,RENT,3.0,EDUCATION,D,4000,16.1,0.13,N,6,1
TR77926463,40,116500,OWN,12.0,PERSONAL,A,19100,7.79,0.16,N,17,0
TR11695368,26,95400,MORTGAGE,4.0,EDUCATION,A,4900,7.99,0.05,N,4,0
TR13008657,21,30200,RENT,4.0,VENTURE,C,1900,13.3,0.06,Y,3,0
TR98141018,26,42200,RENT,2.0,DEBTCONSOLIDATION,D,10100,13.99,0.24,N,10,1
TR13650807,23,69500,MORTGAGE,9.0,DEBTCONSOLIDATION,A,4200,7.6,0.06,N,2,0
TR20698794,22,45700,RENT,5.0,EDUCATION,C,17900,13.57,0.39,N,3,1
TR44292254,24,41500,RENT,6.0,EDUCATION,B,15400,13.04,0.37,N,3,1
TR94553270,21,54900,RENT,3.0,DEBTCONSOLIDATION,B,18200,9.99,0.33,N,4,0
TR28660933,25,71000,RENT,3.0,DEBTCONSOLIDATION,A,9900,5.92,0.14,N,4,0
TR49791760,23,73500,MORTGAGE,5.0,DEBTCONSOLIDATION,B,5100,10.65,0.07,N,3,0
TR28281635,28,93800,MORTGAGE,1.0,HOMEIMPROVEMENT,B,4900,10.35,0.05,N,7,0
TR27544913,33,92100,MORTGAGE,0.0,VENTURE,C,4000,14.05,0.04,Y,8,0
TR90008523,25,81100,MORTGAGE,0.0,EDUCATION,C,12700,13.46,0.16,Y,3,0
TR71015033,31,38400,RENT,3.0,MEDICAL,B,6200,12.14,0.16,N,8,0
TR63540894,24,50100,MORTGAGE,8.0,VENTURE,A,6200,6.05,0.12,N,3,0
TR84059154,28,31900,RENT,0.0,VENTURE,B,6100,11.27,0.19,N,8,0
TR49337868,27,62400,RENT,4.0,MEDICAL,C,12500,13.12,0.2,N,7,1
TR73772660,29,38400,RENT,7.0,DEBTCONSOLIDATION,A,13200,8.61,0.34,N,5,1
TR16815783,56,95500,MORTGAGE,7.0,PERSONAL,A,5000,7.52,0.05,N,18,0
TR45148806,23,61900,RENT,8.0,VENTURE,A,8100,8.94,0.13,N,4,0
TR44980863,22,43600,RENT,0.0,EDUCATION,A,6300,7.85,0.14,N,4,0
TR19842211,32,83400,MORTGAGE,16.0,DEBTCONSOLIDATION,B,19300,12.54,0.23,N,7,0
TR11420990,26,62400,RENT,5.0,MEDICAL,D,19300,13.99,0.31,Y,4,1
TR67737355,22,31000,RENT,3.0,EDUCATION,A,3900,7.8,0.13,N,3,0
TR35352088,26,86100,RENT,3.0,DEBTCONSOLIDATION,B,8400,11.37,0.1,N,3,0
TR60765851,29,79000,MORTGAGE,12.0,PERSONAL,A,5300,7.87,0.07,N,5,0
TR52619546,28,96400,MORTGAGE,10.0,MEDICAL,B,21200,9.26,0.22,N,1,0
TR83310338,48,35600,MORTGAGE,4.0,PERSONAL,B,9800,9.72,0.28,N,11,1
TR93349639,30,41500,RENT,11.0,DEBTCONSOLIDATION,B,15400,8.94,0.37,N,10,1
TR43873107,28,39500,MORTGAGE,0.0,HOMEIMPROVEMENT,C,9500,15.51,0.24,Y,4,0
TR13341821,24,43400,RENT,7.0,EDUCATION,D,11800,15.57,0.27,N,4,1
TR86404078,35,87700,OWN,18.0,PERSONAL,A,2500,9.72,0.03,N,11,0
TR98450890,25,28200,RENT,1.0,MEDICAL,D,10100,14.63,0.36,N,3,1
TR99309456,28,83500,MORTGAGE,11.0,MEDICAL,A,10300,7.64,0.12,N,3,0
TR99932694,26,35700,MORTGAGE,4.0,DEBTCONSOLIDATION,A,5000,7.15,0.14,N,5,0
TR28323346,22,60900,RENT,3.0,PERSONAL,B,8100,12.82,0.13,N,4,0
TR19009229,44,26400,RENT,4.0,VENTURE,D,10100,13.99,0.38,N,15,1
TR12841249,23,26900,MORTGAGE,2.0,DEBTCONSOLIDATION,B,4800,10.94,0.18,N,4,0
TR66418445,21,68500,RENT,1.0,VENTURE,B,10300,12.28,0.15,N,1,0
TR30995113,29,69200,RENT,2.0,DEBTCONSOLIDATION,C,10200,12.49,0.15,Y,8,0
TR85545220,32,67300,MORTGAGE,3.0,DEBTCONSOLIDATION,B,14400,10.04,0.21,N,10,0
TR72643564,24,57800,MORTGAGE,4.0,DEBTCONSOLIDATION,D,14400,15.96,0.25,Y,2,0
TR53364605,21,53800,RENT,2.0,DEBTCONSOLIDATION,C,6300,13.87,0.12,N,1,0
TR80691701,20,37500,RENT,0.0,EDUCATION,C,16500,13.12,0.44,Y,3,1
TR59582842,20,71300,RENT,2.0,PERSONAL,D,10200,16.05,0.14,N,3,0
TR53024259,24,101300,RENT,4.0,EDUCATION,C,15300,13.05,0.15,Y,4,0
TR20795877,23,50200,MORTGAGE,0.0,PERSONAL,A,12400,7.24,0.25,N,3,0
TR78710076,24,144700,MORTGAGE,1.0,HOMEIMPROVEMENT,B,8500,10.49,0.06,N,3,0
TR64268740,25,76700,RENT,10.0,PERSONAL,D,6700,15.14,0.09,N,5,0
TR78841217,30,190500,RENT,4.0,MEDICAL,B,12600,12.41,0.07,N,6,0
TR36537470,34,93200,MORTGAGE,11.0,VENTURE,A,12600,7.78,0.14,N,5,0
TR77310160,38,59900,MORTGAGE,4.0,DEBTCONSOLIDATION,E,20400,17.55,0.34,Y,14,1
TR79508435,23,53200,MORTGAGE,9.0,PERSONAL,A,6200,6.51,0.12,N,4,0
TR49559594,41,48200,RENT,2.0,VENTURE,D,6000,12.8,0.12,N,15,1
TR65937591,21,53300,RENT,2.0,EDUCATION,C,6700,14.51,0.13,Y,4,0
TR17509210,31,97800,RENT,6.0,VENTURE,B,8200,10.89,0.08,N,9,0
TR17618473,21,31300,RENT,0.0,EDUCATION,C,1000,13.95,0.03,N,4,0
TR33895994,25,80600,MORTGAGE,6.0,EDUCATION,B,3900,10.62,0.05,N,2,0
TR44585791,26,58800,MORTGAGE,1.0,VENTURE,D,5000,15.07,0.09,N,3,0
TR21587658,23,37000,RENT,4.0,DEBTCONSOLIDATION,A,8800,8.98,0.24,N,1,0
TR92415910,23,91500,MORTGAGE,0.0,MEDICAL,C,10000,13.01,0.11,Y,3,0
TR19336397,25,28100,RENT,8.0,PERSONAL,B,14800,12.19,0.53,N,5,1
TR26601912,32,101900,RENT,6.0,EDUCATION,B,17600,11.9,0.17,N,4,0
TR72207691,28,90200,MORTGAGE,4.0,DEBTCONSOLIDATION,B,19300,9.15,0.21,N,6,0
TR66208323,28,58600,MORTGAGE,3.0,HOMEIMPROVEMENT,A,5000,8.88,0.09,N,8,0
TR43385417,31,93900,RENT,2.0,PERSONAL,A,4000,7.55,0.04,N,6,0
TR67395339,20,16800,RENT,1.0,HOMEIMPROVEMENT,C,1500,12.39,0.09,Y,5,1
TR41972546,30,56900,RENT,1.0,MEDICAL,B,9600,9.81,0.17,N,5,0
TR39306376,29,55500,MORTGAGE,0.0,PERSONAL,D,14900,15.07,0.27,Y,8,0
TR82509765,34,23600,RENT,5.0,MEDICAL,D,1000,16.56,0.04,N,6,0
TR90393040,39,64000,MORTGAGE,8.0,PERSONAL,A,2000,7.92,0.03,N,18,0
TR69554004,28,56300,MORTGAGE,14.0,PERSONAL,A,7400,6.37,0.13,N,11,0
TR43779710,25,80400,RENT,3.0,MEDICAL,B,13500,10.96,0.17,N,4,0
TR81913034,25,67400,MORTGAGE,9.0,PERSONAL,D,5800,17.34,0.09,Y,4,1
TR55849945,25,99200,MORTGAGE,11.0,HOMEIMPROVEMENT,A,10500,6.09,0.11,N,11,0
TR78130494,33,38800,RENT,0.0,VENTURE,B,15500,11.0,0.4,N,8,0
TR96398890,29,89400,MORTGAGE,6.0,VENTURE,A,4400,5.97,0.05,N,7,0
TR24740675,19,131600,RENT,0.0,VENTURE,B,9600,12.03,0.07,N,4,0
TR65463984,33,37600,RENT,18.0,MEDICAL,B,4800,11.21,0.13,N,10,0
TR94020501,24,54100,RENT,2.0,EDUCATION,C,9600,12.55,0.18,N,2,0
TR93988577,32,68200,RENT,0.0,EDUCATION,C,15500,13.31,0.23,Y,8,1
TR44454726,24,81100,RENT,2.0,EDUCATION,C,7800,13.49,0.1,Y,5,0
TR72147228,24,41400,RENT,7.0,DEBTCONSOLIDATION,B,11900,10.82,0.29,N,3,0
TR45787174,29,46100,RENT,1.0,PERSONAL,D,3600,14.98,0.08,Y,6,1
TR99782121,31,48100,RENT,1.0,MEDICAL,A,4800,6.14,0.1,N,5,0
TR92773963,28,57200,RENT,15.0,DEBTCONSOLIDATION,A,8500,7.02,0.15,N,7,0
TR33550856,28,36700,RENT,5.0,MEDICAL,C,10400,14.02,0.28,N,1,0
TR98115150,29,52600,RENT,4.0,HOMEIMPROVEMENT,B,1900,10.38,0.04,N,7,0
TR36902978,29,160300,MORTGAGE,12.0,DEBTCONSOLIDATION,A,7500,7.56,0.05,N,9,0
TR51561650,31,63100,MORTGAGE,4.0,DEBTCONSOLIDATION,C,6100,13.6,0.1,N,6,0
TR80560540,25,44600,OWN,9.0,PERSONAL,D,10200,15.6,0.23,N,2,0
TR27100111,27,64700,MORTGAGE,2.0,VENTURE,B,9400,11.49,0.15,N,6,0
TR33306738,26,12500,RENT,2.0,PERSONAL,B,2600,12.59,0.21,N,2,1
TR44012081,27,35400,RENT,1.0,EDUCATION,A,6200,8.59,0.18,N,3,0
TR94479349,38,68500,RENT,0.0,HOMEIMPROVEMENT,C,14300,13.82,0.21,N,11,0
TR70280067,22,30600,OWN,2.0,EDUCATION,A,7300,8.92,0.24,N,1,0
TR18081215,27,102500,MORTGAGE,1.0,MEDICAL,B,15200,9.86,0.15,N,8,0
TR43327730,32,54100,RENT,3.0,DEBTCONSOLIDATION,B,12400,11.52,0.23,N,8,0
TR91614978,26,51100,MORTGAGE,3.0,PERSONAL,B,9600,9.84,0.19,N,3,0
TR13141627,25,61800,RENT,0.0,EDUCATION,A,2800,5.65,0.05,N,4,0
TR44690019,25,23300,MORTGAGE,4.0,HOMEIMPROVEMENT,A,5700,5.92,0.24,N,3,0
TR10052451,25,78200,RENT,10.0,MEDICAL,D,12300,14.67,0.16,Y,7,1
TR13057621,24,78300,RENT,3.0,DEBTCONSOLIDATION,C,13900,14.07,0.18,N,3,0
TR43177224,29,92300,MORTGAGE,15.0,HOMEIMPROVEMENT,C,14200,13.5,0.15,Y,7,0
TR83132316,32,51100,MORTGAGE,4.0,MEDICAL,D,5900,15.22,0.12,Y,5,1
TR86380274,29,40300,RENT,4.0,PERSONAL,C,11700,13.77,0.29,N,5,0
TR33555625,30,30700,RENT,3.0,EDUCATION,C,5100,12.3,0.17,N,9,1
TR31857996,29,127200,OWN,11.0,EDUCATION,A,11600,9.28,0.09,N,7,0
TR48857926,26,128300,MORTGAGE,1.0,VENTURE,A,7500,7.48,0.06,N,8,0
TR14432691,26,118000,MORTGAGE,13.0,DEBTCONSOLIDATION,C,14500,13.18,0.12,Y,10,0
TR21732272,26,75500,OWN,1.0,HOMEIMPROVEMENT,D,24700,12.74,0.33,Y,8,0
TR53655005,26,186900,MORTGAGE,2.0,DEBTCONSOLIDATION,C,15400,12.63,0.08,N,6,0
TR11172277,21,54800,MORTGAGE,6.0,VENTURE,B,16500,11.57,0.3,N,2,0
TR34528105,28,63200,MORTGAGE,1.0,DEBTCONSOLIDATION,E,14500,15.54,0.23,Y,4,1
TR13132907,33,44700,MORTGAGE,3.0,MEDICAL,C,2000,14.18,0.04,Y,5,0
TR17125284,58,38200,RENT,5.0,PERSONAL,D,1900,14.87,0.05,Y,28,0
TR14826956,25,78900,MORTGAGE,4.0,DEBTCONSOLIDATION,B,8800,10.35,0.11,N,3,0
TR44981796,22,30100,RENT,3.0,DEBTCONSOLIDATION,C,9800,13.88,0.33,N,4,1
TR65907887,23,58500,MORTGAGE,8.0,VENTURE,B,10000,9.96,0.17,N,2,0
TR28851439,25,53800,RENT,2.0,EDUCATION,B,5800,11.08,0.11,N,3,0
TR15194795,22,115100,OWN,8.0,EDUCATION,B,9700,9.82,0.08,N,5,0
TR50955800,35,64200,MORTGAGE,5.0,MEDICAL,A,7200,6.22,0.11,N,14,0
TR88124071,27,63700,RENT,3.0,MEDICAL,B,14700,8.93,0.23,N,10,0
TR45303706,21,67200,RENT,5.0,PERSONAL,C,11800,13.61,0.18,Y,3,0
TR71401727,25,40100,RENT,6.0,VENTURE,B,13100,11.05,0.33,N,3,1
TR34491484,23,31700,RENT,4.0,EDUCATION,B,7200,9.39,0.23,N,4,0
TR88854536,25,62500,RENT,2.0,EDUCATION,B,19100,12.04,0.31,N,4,1
TR93533420,27,42400,MORTGAGE,2.0,MEDICAL,C,8800,15.33,0.21,Y,4,1
TR17047688,28,58600,RENT,4.0,DEBTCONSOLIDATION,A,11400,7.77,0.19,N,2,0
TR73691068,27,76900,MORTGAGE,13.0,VENTURE,A,3100,5.43,0.04,N,7,0
TR92500910,25,34600,RENT,7.0,VENTURE,B,11800,10.7,0.34,N,3,1
TR83586703,39,40800,RENT,3.0,PERSONAL,B,9200,12.69,0.23,N,14,0
TR72300623,26,39300,RENT,0.0,EDUCATION,B,3900,10.13,0.1,N,8,0
TR70928804,27,48800,MORTGAGE,6.0,PERSONAL,A,12100,8.86,0.25,N,6,0
TR55996457,34,56000,RENT,7.0,VENTURE,B,5100,10.75,0.09,N,7,0
TR27855938,33,79200,RENT,4.0,MEDICAL,B,19600,11.29,0.25,N,9,1
TR57297608,35,100600,OWN,17.0,EDUCATION,D,20400,15.46,0.2,Y,9,0
TR38633637,26,38300,RENT,7.0,MEDICAL,C,8700,13.64,0.23,N,3,0
TR12461687,21,29800,RENT,6.0,DEBTCONSOLIDATION,B,1300,10.98,0.04,N,5,1
TR39166806,26,90400,RENT,3.0,HOMEIMPROVEMENT,C,6300,13.6,0.07,Y,10,0
TR69608805,23,41700,RENT,0.0,VENTURE,B,9500,10.27,0.23,N,4,0
TR21067487,26,68700,MORTGAGE,4.0,MEDICAL,A,9800,7.23,0.14,N,10,0
TR28732297,26,27400,MORTGAGE,9.0,MEDICAL,A,8600,7.32,0.31,N,1,0
TR71296174,41,37300,MORTGAGE,19.0,DEBTCONSOLIDATION,C,3500,12.98,0.09,Y,16,1
TR45883817,22,42500,OWN,6.0,VENTURE,B,4700,9.43,0.11,N,2,0
TR17072605,44,94000,RENT,11.0,MEDICAL,A,10600,7.41,0.11,N,15,0
TR98054735,28,75400,MORTGAGE,13.0,VENTURE,A,5700,7.53,0.08,N,6,0
TR85714521,28,33400,MORTGAGE,8.0,DEBTCONSOLIDATION,A,7900,6.74,0.24,N,4,0
TR80254728,26,139100,MORTGAGE,2.0,EDUCATION,B,7600,11.7,0.05,N,7,0
TR60579320,22,29200,RENT,3.0,MEDICAL,B,7800,12.15,0.27,N,2,0
TR15963216,24,83900,MORTGAGE,8.0,EDUCATION,B,7500,11.08,0.09,N,3,0
TR20574817,23,64300,RENT,3.0,EDUCATION,C,11500,14.95,0.18,Y,5,0
